drift,vol,leverage,horizon_years,median_terminal,mean_terminal,median_cagr,mean_cagr,median_vol,median_sharpe,median_max_dd,worst_max_dd,prob_loss,prob_beat_1x,prob_dd_gt_50,prob_dd_gt_70,prob_dd_gt_90
0.0,0.2,2.0,5,0.6804069525325636,1.0059348920763205,-0.07412203543430779,-0.0589321044075064,0.3998183669855967,0.006235062412510243,-0.6900147719435752,-0.9680180415407704,0.667,0.25425,0.88675,0.47425,0.04525
0.0,0.2,2.5,5,0.5450966185476034,1.0011839573060908,-0.11428359833650747,-0.09164375853188245,0.4997729587319959,0.0062350624125096545,-0.7837835546054335,-0.9881497751371441,0.70175,0.21525,0.9725,0.71175,0.164
0.0,0.2,3.0,5,0.41534655185951397,0.991906041993455,-0.16115426315095527,-0.13030805764852613,0.599727550478395,0.006235062412509317,-0.8533825457585811,-0.9958384896042645,0.74575,0.18625,0.99275,0.84875,0.33975
0.0,0.2,1.0,10,0.8326239183139091,1.0173715358544846,-0.01815063641683301,-0.015732040702776583,0.1999820478996962,0.00839847759470233,-0.5460431894389454,-0.9362355600224538,0.6085,0.0,0.6115,0.15775,0.00175
0.0,0.2,1.25,10,0.7471987134436511,1.0196421914450755,-0.028721866486644987,-0.02514069172572593,0.24997755987462028,0.008398477594701316,-0.639762300205303,-0.9697477697436374,0.639,0.2505,0.81,0.35125,0.01825
0.0,0.2,1.5,10,0.6551501339286411,1.020696303918372,-0.04140737617308454,-0.03663848616454034,0.2999730718495443,0.008398477594701113,-0.7164173062323161,-0.9859749242427391,0.671,0.224,0.923,0.53625,0.06925
0.0,0.2,2.0,10,0.4660912517137522,1.0182913654028996,-0.07349643461288113,-0.0655926995708681,0.39996409579939246,0.008398477594701994,-0.8319603725838147,-0.9971880739153425,0.727,0.1795,0.99125,0.80825,0.277
0.0,0.2,2.5,10,0.29938850221382785,1.0084535606566776,-0.11361279965905541,-0.10185927643649625,0.4999551197492405,0.008398477594701578,-0.9076975772121407,-0.9994863722819219,0.776,0.14125,0.9995,0.941,0.52775
0.0,0.2,3.0,10,0.17422978809707945,0.9895261773122774,-0.16032303958622196,-0.14453684184313417,0.5999461436990887,0.008398477594701886,-0.9527372497474837,-0.9999145754398592,0.82075,0.1075,1.0,0.986,0.73075
0.0,0.2,1.0,20,0.69073395644549,1.000190703335101,-0.018329952213946732,-0.017916875721065553,0.2000233269336426,0.007145629702035854,-0.6914780384058103,-0.9752044920766101,0.67325,0.0,0.8945,0.4775,0.04625
0.0,0.2,1.25,20,0.556116266792196,0.9920705301576,-0.028912691518824585,-0.028152776622729272,0.2500291586670533,0.007145629702035528,-0.7838084357182507,-0.9913225062749101,0.71075,0.159,0.97525,0.7115,0.168
